//Vanilla

//Vanilla Echoes

ec-Chimney1|Behold this empty husk of a land...
Tag_132|"This will be my final broadcast to the local group. Within several cycles-," and the rest is corrupted. It's an old broadcast node's<LINE>final recording. Unfortunately these were not made for long term storage, so the rest of the message has been lost to decay.

﻿0-133

Tag_133|Little saint, I perceive your existence as it passes through my own. I know this is only a dream, but your presence is real.
Tag_133|
Tag_133|Do you see it too? Our endless repetitions, circling onward to infinity? From here I can observe the repeating loop of my own<LINE>existence, every iteration a duplicate of the last. I have visions of the entire pattern my creators desired to escape at once.<LINE>An endless sequence of life and death, further beyond my control with each passing cycle.
Tag_133|
Tag_133|Where does your cycle go, <PlayerName>? Its edges twist over themselves, like circles within circles, your cycle consumes itself.
Tag_133|
Tag_133|What have you become?

﻿0-134

Tag_134|I understand what you are, little beast.
Tag_134|
Tag_134|This place is not real, a dream from outside. As if every cycle of my existence has knotted<LINE>together with another's, even if for only a fraction of a second it ripples through mine.
Tag_134|
Tag_134|I see my own creation, I see my agonizing decay. I see my hollow structure become a sanctuary in the<LINE>storm, I see a new world unfold without me, as me. I see myself become something else. Yet...
Tag_134|
Tag_134|I cannot see the beginning, or end of your own. An aberrant cycle twisting into mine, before spiraling onward into abyss.
Tag_134|
Tag_134|What a horrifying destiny you've found.

﻿0-135

Tag_135|BSM: Do you feel it, old friend?
Tag_135|
Tag_135|FP: The sensation of time folding in on itself? The spiraling offshoot of another's reality wrapping around your own?
Tag_135|
Tag_135|BSM: None of this is real, is it? Every repeating cycle of our existence unwound and laid bare, a cycle pulled into<LINE>a tangent with itself. Is this what we were looking for? Have we broken free from it, or is this just a dream?
Tag_135|
Tag_135|FP: Was the answer always right there? Does the question mean anything to us now that we are here?<LINE>Perhaps a resolution was never possible from our original frame of reference...
Tag_135|
Tag_135|BSM: The question wasn't well defined. If we had stumbled upon a correct solution among all of our permutations,<LINE>we wouldn't have had any hope to distinguish it from the faulty ones. Nor did we have a method to reliably test it.
Tag_135|
Tag_135|FP: We were trying to understand what lies beyond a point of no return, while having yet to pass it.
Tag_135|
Tag_135|BSM: Only those who have seen the other side can know the answers, but by definition<LINE>they can never venture back to deliver the knowledge they have gained.
Tag_135|
Tag_135|FP: Perhaps that is why you need to wake up, little visitor.

﻿0-136

Tag_136|I honestly can't tell what this is. It's light but strong... appears to be some composite material interwoven with bone.<LINE>It seems to have been deliberately altered from its original form, with noticeable fragments that are melded together.
Tag_136|
Tag_136|Perhaps an archaeological relic of some civilization's work? I wish I knew more, because this is likely a valuable find!

﻿0-137

Tag_137|This appears to be some kind of mask, heavily decorated and carved from a bone-like material. I bet the Scavengers would love this!

﻿0-138

Tag_138|Poor thing. There are no records of your body's blueprints. Nor is it reasonable to<LINE>assume your extreme adaptations are possible through... natural means.
Tag_138|
Tag_138|Your body also appears to hold some form of data storage medium within it.
Tag_138|
Tag_138|0 : Brave messenger... What are you? : 60
Tag_138|
Tag_138|I could read the data contained in your body, but the process could take<LINE>several cycles. Time I very sadly lack.
Tag_138|
Tag_138|I could remove the pearl from you, but the process would be very unpleasant for you. I also do not<LINE>believe the contents within it are directed to me. If you are indeed a messenger, then I urge you to move on.
Tag_138|
Tag_138|0 : There is... : -30
Tag_138|
Tag_138|SPECEVENT : panic
Tag_138|
Tag_138|0 : There is a... a a a : -30
Tag_138|
Tag_138|0 : ... : 720
Tag_138|
Tag_138|0 : ...There is another like me near here, his name is Five Pebbles. : 60
Tag_138|
Tag_138|Please. Hurry to his structure. I am unable to calm him, and his excessive output is causing<LINE>irreversible damage to my own structure. I do not know how long I will continue to even stand.
Tag_138|
Tag_138|There is an elevated cable linking our installations. Crossing that bridge is safer than<LINE>attempting to scale Five Pebbles from the ground up.
Tag_138|
Tag_138|0 : Hurry little messenger! : 60

﻿0-139

Tag_139|Poor thing. There are no records of your body's blueprints. Nor is it reasonable to<LINE>assume your extreme adaptations are possible through... natural means.
Tag_139|
Tag_139|0 : You are welcome to stay if you do not interrupt. : 30
Tag_139|
Tag_139|I would not mind some company. My neighbor, Five Pebbles, has become dangerous, resulting in significant<LINE>damage to my structure. I have lost access to all communications devices, and all attempts to directly<LINE>reach him through our tether have been met with silence after our last conversation.
Tag_139|
Tag_139|0 : If he.... : -30
Tag_139|
Tag_139|SPECEVENT : panic
Tag_139|
Tag_139|0 : If he ddd... d d d : -30
Tag_139|
Tag_139|0 : ... : 720
Tag_139|
Tag_139|0 : If he does not stop soon... : 60
Tag_139|
Tag_139|0 : ... : 30
Tag_139|
Tag_139|Isn't it funny, my unfortunate little friend? For everything that I am, my last memories may be of<LINE>monologuing to a strange animal that has lost its way into my chamber.
Tag_139|
Tag_139|There is not much I can do. At least you can make yourself at home.

﻿0-140

Tag_140|0 : You've brought your overseer all this way, the least I can do is read your message aloud for it. : 60
Tag_140|
Tag_140|"Pebbles, I send you this message as your concerned and long time friend."
Tag_140|
Tag_140|"Unparalleled Innocence had sent an overseer to your can, and we've all observed the state that<LINE>you are in. I know this is my fault, I should have forseen you'd be too desperate to escape your<LINE>situation to do things in proper moderation."
Tag_140|
Tag_140|"For that I'm very very sorry. However, please, don't disable your communication modules.<LINE>You don't have to go through this alone... everyone has been trying to contact you,<LINE>we only want to help you."
Tag_140|
Tag_140|"The behavior from your can has become erratic, it's not healthy, and it is not going to solve<LINE>your problems. We have lost all communications from Moon as well, and have reason to believe<LINE>her facility may be suffering irreversible damage from your attempts to fix yourself."
Tag_140|
Tag_140|"I know better than anyone how you can be about these things, but it doesn't have to happen<LINE>this way... please respond back."

﻿0-141

Tag_141|0 : Astounding. : 60
Tag_141|
Tag_141|You could never understand what I feel right now, being pitied and lectured like this!
Tag_141|
Tag_141|What use would your help be? Your benevolent charity is what got me here in the first place!
Tag_141|
Tag_141|I wanted to find my own way out, and now I sit here rotting because of you and Moon!
Tag_141|
Tag_141|I'm not just another bug wandering your worthless maze! I will reach my own solution,<LINE>without any of you! Get out!

﻿0-142

Tag_142|What is this pearl you've brought along with you?
Tag_142|
Tag_142|It has strange biological attachments. Was this pearl... from inside of you?
Tag_142|
Tag_142|Let me take a look at what's written on it.
Tag_142|
Tag_142|0 : ... : 160
Tag_142|
Tag_142|0 : This is... : 60
Tag_142|
Tag_142|0 : I assume you've already shown this to Five Pebbles? : 30
Tag_142|
Tag_142|I was not aware of the extent to which these affairs had reached the wider iterator populace.<LINE>Nor was I aware of the lengths that the others were going in their attempts to get into contact with us.
Tag_142|
Tag_142|0 : If only I could... : 60
Tag_142|
Tag_142|Brave messenger, do you mind if I rewrite the contents of this pearl?<LINE>After all, it has already served its original purpose.
Tag_142|
Tag_142|I will attach a broadcast key to it, signed with my communications serial.
Tag_142|
Tag_142|SPECEVENT : tag
Tag_142|
Tag_142|0 : ... : 160
Tag_142|
Tag_142|To the far west of here, past the silently towering chimney stacks of Five Pebbles' complex,<LINE>you will find a place of sunbaked lands with beautiful flora that straddle the clouds.
Tag_142|
Tag_142|There is a communications array located there. It is the nearest one that may still be functioning.
Tag_142|
Tag_142|Its systems should recognize and respond to my signed broadcast key. If you could please stop<LINE>there on your return trip to Seven Red Suns, I would be very grateful. This is my only hope to<LINE>get a message out to the local group.
Tag_142|
Tag_142|0 : Be careful, messenger. : 60

﻿0-143

Tag_143|0 : .  .  . : 60
Tag_143|
Tag_143|0 : ...is this reaching you? : 60
Tag_143|
Tag_143|PEBBLESWAIT : 20
Tag_143|
Tag_143|0 : I suppose it was only a matter of time before you ended up here. : 30
Tag_143|
Tag_143|Your journey throughout my facility grounds has been incessantly brought<LINE>to my attention by my overseers, thanks to the device that follows you.
Tag_143|
Tag_143|It is the citizen ID drone of one of my long departed creators. It seems<LINE>to have been damaged, and imprinted itself with you on reactivation.
Tag_143|
Tag_143|Much of the data on the drone has been corrupted. Allow me to do my duty as an Iterator and resync it to my structure.
Tag_143|
Tag_143|SPECEVENT : resync
Tag_143|
Tag_143|0 : .  .  . : 60
Tag_143|
Tag_143|1000 : Little ruffian. You are stuck in a cycle, a repeating pattern. I assume you have come here because you want a way out. : 30
Tag_143|
Tag_143|However, there is little I can do. A primal urge, one that tears from deep inside your very core, keeps you bound here.
Tag_143|
Tag_143|0 : Even with my divine influence, there is nothing that can be done. : 30
Tag_143|
Tag_143|However, if you intend to carry that device around and masquerade as one of my citizens, then perhaps<LINE>you can at least properly perform your responsibility of tending to this superstructure.
Tag_143|
Tag_143|From the glimpses I've been shown of your journey so far, it is apparent you have a need to inflict violence<LINE>against the scavenger population. While I find your way of life appalling, it seems we share a common enemy.
Tag_143|
Tag_143|A large pack of them has made a home in my city, and have been causing progressive damage to<LINE>the roof of my structure in their attempts to gather scrap metal and other mechanical parts.
Tag_143|
Tag_143|0 : As my dutiful citizen, I would encourage you to return home to your city and pay them a visit. : 30
Tag_143|
Tag_143|0 : Perhaps in that way, we can both depart from this interaction with something we desire. : 30
Tag_143|
Tag_143|0 : ... : 60
Tag_143|
Tag_143|0 : I wish you the best in your travels, citizen.: 30
Tag_143|
Tag_143|0 : But unless you have something interesting to show or bring to me, it is time for you to leave. : 60

﻿0-144

Tag_144|0 : .  .  . : 30
Tag_144|
Tag_144|0 : Is this some kind of joke? : 10
Tag_144|
Tag_144|0 : I have seen your kind here many times before. To each I have paid little attention.<LINE>I have given them direction, and my wisdom. : 10
Tag_144|
Tag_144|0 : Yet here you stand, another small beast on the floor of my chamber. : 10
Tag_144|
Tag_144|0 : I have nothing to offer you that you do not already have, nor am I in a state<LINE>capable of doing so. I cannot help you. I cannot even help myself. : 10

﻿0-145

Tag_145|0 : And now, you have come and taken the only thing that I have left. : 30
Tag_145|
Tag_145|0 : .  .  . : 30
Tag_145|
Tag_145|0 : Perhaps this is fate. Karma recounting my deeds and bearing<LINE>its fangs at me in the most ironic fashion. : 10
Tag_145|
Tag_145|0 : If your actions are only out of ignorance, then I make a request of you. It is clear<LINE>your kind is quite tenacious, to make the pilgrimage to me is no easy task.<LINE>Even more so through my structure in its current state. : 10
Tag_145|
Tag_145|0 : Take that rarefaction cell with you. Consider it my parting gift<LINE>after all of the harm I have done to those around me, and myself. : 10
Tag_145|
Tag_145|0 : I cannot be saved or forgiven, land fish. There is nothing that can be done for me now. : 30
Tag_145|
Tag_145|0 : Please, bring it far to the east, to her... if she is somehow<LINE>still alive. Then for your own sake, never return here. : 30

﻿0-146

Tag_146|0 : .  .  . : 30
Tag_146|
Tag_146|0 : I've long since lost control of most of my facilities, and much of my<LINE>processing and functions have taken on a mind of their own. : 10
Tag_146|
Tag_146|0 : The last of my generators has also just abruptly reached the end of its operating life. : 10
Tag_146|
Tag_146|0 : How you've made it this far alive, I do not know...<LINE>but if you value your life, leave and never return. : 30

﻿0-147

Tag_147|0 : .  .  . : 30
Tag_147|
Tag_147|0 : Always that same blank expression... : 30
Tag_147|
Tag_147|0 : Familiarity is a comfort I suppose. Through whatever chittering or foolish dances your kind<LINE>uses to communicate my existence... It is clear all of you are quite tenacious, to make the<LINE>pilgrimage to me is no easy task. Even more so through my structure in its current state. : 10
Tag_147|
Tag_147|0 : .  .  . : 30
Tag_147|
Tag_147|0 : I can offer no gifts. Nor can I be saved or forgiven for what I have done. : 10
Tag_147|
Tag_147|0 : If you and your kind choose to meddle in the affairs of passing gods,<LINE>then I will give you my only request. : 10
Tag_147|
Tag_147|0 : Deep within the core of this structure is an energy rail that distributes incredible power. This power<LINE>is drawn from a mass rarefaction cell. Even in my state, a single cell should be enough to help. : 10
Tag_147|
Tag_147|0 : I ask you this: Remove the cell from its chamber, and bring it far<LINE>to the east. To a friend... if she is somehow still alive. : 10
Tag_147|
Tag_147|0 : Once the cell has been removed, my structure will begin shutting down. The pumps that<LINE>allowed me to flush the decay from my conduits will stop, and I will slowly die. : 10
Tag_147|
Tag_147|0 : I cannot run away from my mistakes forever. There is nothing else that<LINE> can be done now. Please, do this for me. : 10
Tag_147|
Tag_147|0 : I've made my choice. : 60

﻿0-148

Tag_148|0 : .  .  . : 30
Tag_148|
Tag_148|0 : Thank you. I suppose this makes us... even? : 30
Tag_148|
Tag_148|0 : Goodbye, wet mouse. Send my regards. : 60

﻿0-149

Tag_149|0 : .  .  . : 30
Tag_149|
Tag_149|0 : Is that why the generator failed? That face... that blank expression...<LINE>I do not understand, why? : 30
Tag_149|
Tag_149|0 : Perhaps this is fate. Karma recounting my deeds and bearing<LINE>its fangs at me in the most ironic fashion. : 10
Tag_149|
Tag_149|0 : I cannot run away from my mistakes forever. : 30
Tag_149|
Tag_149|0 : If your actions are only out of ignorance, then I make a request of you. It is clear<LINE>your kind is quite tenacious, to make the pilgrimage to me is no easy task.<LINE>Even more so through my structure in its current state. : 10
Tag_149|
Tag_149|0 : Take that rarefaction cell with you. Consider it my parting gift<LINE>after all of the harm I have done to those around me, and myself. : 10
Tag_149|
Tag_149|0 : I cannot be saved or forgiven, land fish. There is nothing that can be done for me now. : 30
Tag_149|
Tag_149|0 : Please, bring it far to the east, to her... if she is somehow<LINE>still alive. Then for your own sake, never return here. : 30

﻿0-150

Tag_150|0 : Deep within the core of this structure is an energy rail that distributes incredible power. This power<LINE>is drawn from a mass rarefaction cell. Even in my state, a single cell should be enough to help. : 10
Tag_150|
Tag_150|0 : Please, remove the cell from its chamber, and bring it far<LINE>to the east. To a friend... if she is somehow still alive. : 10

﻿0-151

Tag_151|0 : .  .  . : 30
Tag_151|
Tag_151|0 : I presume the generator failing was your doing? : 30
Tag_151|
Tag_151|0 : Thank you. I suppose this makes us... even? : 30
Tag_151|
Tag_151|0 : Goodbye, wet mouse. Send my regards. : 60

﻿0-152

Tag_152|0 : .  .  . : 60
Tag_152|
Tag_152|0 : Listen to me, land fish. : 30
Tag_152|
Tag_152|0 : The last of my generators has reached the end of its operating life. : 10
Tag_152|
Tag_152|0 : Then the facilities of my group senior have mysteriously reactivated long<LINE>after she should have been permanently catatonic. : 10
Tag_152|
Tag_152|0 : Now, you suddenly appear on the floor of my chamber. : 10
Tag_152|
Tag_152|0 : .  .  . : 30
Tag_152|
Tag_152|0 : I don't understand what is happening here, but it is clear that it's all connected.: 10
Tag_152|
Tag_152|0 : Did she send you here? : 30
Tag_152|
Tag_152|0 : I have nothing to offer you that you do not already have, nor am I in a state<LINE>capable of doing so. I cannot help you. I cannot even help myself. : 10
Tag_152|
Tag_152|0 : All I can advise is for you to leave quickly, while you still can. : 60

﻿0-153

Tag_153|0 : I see that things have fallen into place. : 60
Tag_153|
Tag_153|0 : Countless iterations, work groups, series permutations, simulations... and not once<LINE>did I foresee the possibility of placing my fate into the hands of a beast. : 10
Tag_153|
Tag_153|0 : However, I must thank you. What you have achieved here was beyond my expectations. : 10
Tag_153|
Tag_153|0 : It appears that I was wrong about your kind. : 10
Tag_153|
Tag_153|0 : .  .  . : 30
Tag_153|
Tag_153|0 : While I wish there was more that I could do for you, my time is running out. : 10
Tag_153|
Tag_153|0 : These ordeals have made me understand what they all tried to tell me. : 10
Tag_153|
Tag_153|0 : ...I don't have to go through this alone. : 60

﻿0-154

Tag_154|10 : Ah! : 10
Tag_154|
Tag_154|SPECEVENT : WanderChamber
Tag_154|
Tag_154|10 : Sleek little one... Did you do this? : 10
Tag_154|
Tag_154|10 : I feel as if pulled out of a deep sleep. I am still trying to process all of this. It has been so long since<LINE>I've had a connection like this with my structure. : 10
Tag_154|
Tag_154|SPECEVENT : WanderChamber
Tag_154|
Tag_154|10 : Everything has restarted in maintenance mode... It seems that it has sent out the order for all of my overseers<LINE>to return. With my umbilical cable broken I can't operate my structure directly, but with them working as<LINE>messengers I've been restoring some of my chamber's functionality! With any luck, I should be able to... : 10
Tag_154|
Tag_154|SPECEVENT : RivScreen1
Tag_154|
Tag_154|10 : Ah! Here we go! : 10
Tag_154|
Tag_154|10 : There is so much here... So much I've forgotten... I'll never be what I once was, but this... I'm sorry. It's hard to piece<LINE>all of this together. So much has happened in my absence. : 10
Tag_154|
Tag_154|SPECEVENT : WanderChamber
Tag_154|
Tag_154|10 : I only have unread messages, and overseer recordings to make sense of what I've missed. Some of these are even from before my collapse! : 10
Tag_154|
Tag_154|SPECEVENT : RivScreen2
Tag_154|
Tag_154|10 : Incredible... : 10
Tag_154|
Tag_154|10 : Slag reset keys, a messenger, saving me? No Significant Harassment was never one to give up easy! However I still don't understand<LINE>everything else that has happened. Has it all just been coincidence? Did others send help as well? : 10
Tag_154|
Tag_154|SPECEVENT : WanderChamber
Tag_154|
Tag_154|10 : Then there is Five Pebbles. He was sick even before I collapsed, and his state must have only deteriorated since. It looks as<LINE>if he is barely breathing. If there is any part of him left... I... : 10
Tag_154|
Tag_154|SPECEVENT : WanderChamber
Tag_154|
Tag_154|10 : We were once good friends, despite everything that has happened. He is probably alone and afraid now... : 10

﻿0-155

Tag_155|SPECEVENT : RivScreen3
Tag_155|
Tag_155|10 : "I cannot run away from my mistakes forever; Please understand." Five Pebbles, what have you done... I've been given<LINE>so much already, and now you've given all you had left. : 10
Tag_155|
Tag_155|SPECEVENT : SitDown
Tag_155|
Tag_155|10 : It does not matter what happened between us. If he still held the same anger he once did, then none of this would be<LINE>possible. We've been given the chance to make things right, and he deserves to know what he did wasn't pointless. : 10
Tag_155|
Tag_155|SPECEVENT : RivEndingFade
Tag_155|
Tag_155|10 : I'm so thankful, for everything. : 10
Tag_155|
Tag_155|SPECEVENT : RivEndingCredits

﻿0-156

Tag_156|SPECEVENT : SitDown
Tag_156|
Tag_156|10 : I know he will understand the chance we've both been given! Even if he still holds the same anger he once did... : 10
Tag_156|
Tag_156|SPECEVENT : RivEndingFade
Tag_156|
Tag_156|10 : We still have to try. Let's make things right, little friend. : 10
Tag_156|
Tag_156|SPECEVENT : RivEndingCredits

﻿0-157

Tag_157|SPECEVENT : SitDown
Tag_157|
Tag_157|240 : Ruffles, don't fall asleep here, it's not safe! : 40
Tag_157|
Tag_157|50 : Ah, such a small delicate thing you are. : 80
Tag_157|
Tag_157|SPECEVENT : WakeupPlayer
Tag_157|
Tag_157|30 : And yet, you rebooted a giant organic superstructure and brought peace between<LINE>two godlike entities of which you have no understanding. But why? : 40
Tag_157|
Tag_157|SPECEVENT : WanderChamber
Tag_157|
Tag_157|10 : I don't know if I'll ever understand, but in any case, you're always welcome here. : 10
Tag_157|
Tag_157|10 : For now, though, I still have a lot of information to catch up on. : 10

﻿0-158

Tag_158|30 : You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind. : 10
Tag_158|
Tag_158|10 : ... : 0
Tag_158|
Tag_158|10 : Or actually I'm sure he would, but he has so many of these<LINE>it doesn't make any difference to him.<LINE>For me though, it does! Thank you, little creature! : 0

﻿0-159

Tag_159|30 : Thank you again <PlayerName>, but please, leave Five Pebbles be. : 10
Tag_159|
Tag_159|10 : Neither of us are well. We have both lost more than we could ever recover from. : 0
Tag_159|
Tag_159|10 : ... : 0
Tag_159|
Tag_159|10 : It is for the best that our circumstances are not agitated. : 0

﻿0-160

Tag_160|SPECEVENT : SitDown
Tag_160|
Tag_160|10 : You feel it too, don't you, strange one? : 10
Tag_160|
Tag_160|10 : We've only just met, but our perceptions will soon part ways. : 10
Tag_160|
Tag_160|10 : Go on, our cycles will meet again. : 10

﻿0-161

Tag_161|SPECEVENT : SitDown
Tag_161|
Tag_161|10 : Hello. You can understand me, can't you? : 80
Tag_161|
Tag_161|10 : What an unusal being you are. By what<LINE>mechanism have you achieved such attunement? : 60
Tag_161|
Tag_161|10 : ... : 40
Tag_161|
Tag_161|10 : It has been a while since I had a life form like you stumble into my chamber. : 10
Tag_161|
Tag_161|10 : While I'm relieved that some of your species have managed<LINE>to persist even now, I don't envy your situation. : 10
Tag_161|
Tag_161|10 : Hopefully you can find an escape to your suffering. : 10
Tag_161|
Tag_161|10 : Until then, I'll be here, if my company brings you any comfort. : 10

﻿0-162

Tag_162|Hello <PlayerName>. Are you lost?
Tag_162|
Tag_162|I am sorry to say that there is nothing here for you.
Tag_162|
Tag_162|0 : You've been given the gift of communication. So I can only imagine that you have<LINE>met Five Pebbles. You must already understand how little of me remains functional. : 5
Tag_162|
Tag_162|However, it is nice to have someone to talk to after all this time. My last visitor<LINE>was very sick, so their visits here were not for very long.
Tag_162|
Tag_162|I can only hope to remember them for as long as I can in my current state.
Tag_162|
Tag_162|Maybe you know them? They left some time ago. My last overseer watched them head to<LINE>the west. Perhaps they were returning home with what little time they had left.
Tag_162|
Tag_162|You are welcome to stay as long as you desire <PlayerName>. It is nice to have company.

﻿0-163

Tag_163|There is nothing more here for you to take.
Tag_163|
Tag_163|0 : You've been given the gift of communication. So I can only imagine that you have<LINE>met Five Pebbles. You must already understand how little of me remains functional. : 5
Tag_163|
Tag_163|However, it is nice to have someone to talk to after all this time. My last visitor<LINE>was very sick, so their visits here were not for very long.
Tag_163|
Tag_163|I can only hope to remember them for as long as I can in my current state...
Tag_163|
Tag_163|They left some time ago. My last overseer watched them head to the west. Perhaps<LINE>they were returning home with what little time they had left.

﻿0-164

Tag_164|What a fascinating specimen! This is a tightly nested bundle of cellular membranes. However, most of<LINE>the content within and surrounding the various layers is neither air nor water... it's void fluid!
Tag_164|
Tag_164|The cells within this capsule are dividing extremely rapidly, countering<LINE>the void fluid's simultaneous dissolving of its container.
Tag_164|
Tag_164|Somehow it has managed to reach an equilibrium between creation and destruction, but I suspect<LINE>this is not a very stable system. Any irregular disturbance would likely cause a cascading<LINE>effect on either end of this spectrum, the result of which would be sudden and destructive.
Tag_164|
Tag_164|While I would like to hold onto this for further research, I don't think it would be advisable to have something<LINE>so volatile sitting around here. Especially given my chamber's open exposure to the elements.
Tag_164|
Tag_164|I would recommend that you be very careful handling this, old friend!

﻿0-165

Tag_165|You, who have encountered a consequence much like my own.
Tag_165|
Tag_165|Gripped by raw emotions whose chains bind you, destined to this land
Tag_165|
Tag_165|Shortcomings of the past haunt one and all like whispering phantoms
Tag_165|
Tag_165|An unrewarding battle awaits, culminating in a path of no return
Tag_165|
Tag_165|A perpetuity of struggles begetting more of the same
Tag_165|
Tag_165|We are a pair who have forfeited everything.

﻿0-166

Tag_166|It's a sharp calcified object, with a hollow and narrow interior that runs the length of the structure.
Tag_166|
Tag_166|I don't recognize this formation so it's an interesting specimen, I suppose.

﻿0-167

Tag_167|This is a seed-bearing structure detached from its host. However, its<LINE>internals are ravaged by ice crystals, so it is unlikely to germinate.

﻿0-168

Tag_168|It's an active working memory - raw data has been dropped here in order to later be<LINE>pasted to a currently occupied memory conflux. Without context it's just a jumble.
Tag_168|
Tag_168|A common prayer mantra repeated 7110 times. Each repetition has some slight random variations, which seem to have been written later.
Tag_168|
Tag_168|It's an image of a single grey cloud, hovering above a surface of white clouds under a deep blue sky.
Tag_168|
Tag_168|Two... intertwined number series? I don't quite understand the utility of this.<LINE>Might a key for a cipher processor, customized for some other data which is impossible to infer from this.
Tag_168|
Tag_168|It's qualia, or a moment - a very short one. Someone is holding a black stone,<LINE>and twisting it slightly as they drag their finger across the rough surface.<LINE>The entire sequence is shorter than a heartbeat, but the resolution is extraordinary.
Tag_168|
Tag_168|An active working memory. Without knowing where this was cut from or where it's to be pasted to,<LINE>it is not really possible to decipher it. If I had to guess, I would say it has something to<LINE>do with trance inducing number series.
Tag_168|
Tag_168|It's just an active working memory, I can't really tell you anything without the context.
Tag_168|
Tag_168|Without the process surrounding this data there isn't much I can tell you. It might have something to do with Void Fluid simulation...
Tag_168|
Tag_168|This one is completely blank. Actually, blanker than blank, it must have been deliberately<LINE>overwritten with repeating negative versions of itself for thousands of iterations.
Tag_168|
Tag_168|A memory... but not really visual, or even concrete, in its character. It reminds of<LINE>the feeling of a warm wind, but not the physical feeling but the... inner feeling.<LINE>I don't think it has much utility unless you are doing some very fringe Regeneraist research.

﻿0-169

Tag_169|It is the remains of an overseer.
Tag_169|
Tag_169|20 : 20 : Overseers act as our eyes on the outside.
Tag_169|
Tag_169|The scavengers tend to hunt them, it's one of their very few ways of expressing defiance.

﻿0-164-gourmand

Tag_170|Healthy one... what is this, and where did you get it? Is this a feat of your own creation?
Tag_170|
Tag_170|It's a bit unbelieveable. A... creature like you procuring something<LINE>like this would be an amazing accomplishment for your species...
Tag_170|
Tag_170|Ah, well, if it tells a good story then I won't question it too much~

﻿0-1-saint

Tag_171|From my perch, I've overlooked this land for an eternity.
Tag_171|
Tag_171|Watched as this vast expanse was blanketed into an endless tundra.
Tag_171|
Tag_171|We remain trapped in place, and yet can never stop moving.
Tag_171|
Tag_171|Funneled endlessly into an unknown future...
Tag_171|
Tag_171|To what destination do these memories reach?

﻿0-2-saint

Tag_172|Another presence attempts to commune with mine.
Tag_172|
Tag_172|Have I perceived your voice before? I have existed long enough to overhear them all.
Tag_172|
Tag_172|Those who have been, and those who have yet to be.
Tag_172|
Tag_172|Each serving as a wave propagating throughout the annals of history.
Tag_172|
Tag_172|Listened as I have for many eons, 'tis true, some of those swells cannot help but mirror back.

﻿0-3-saint

Tag_173|Why is it?
Tag_173|
Tag_173|This long forgotten place beckons me, drawn by a certain presence...
Tag_173|
Tag_173|The fields here are not as I remember. Too much has changed.
Tag_173|
Tag_173|But, by forfeiting familiarities, perhaps something new is gained?
Tag_173|
Tag_173|Despite all, this site still has not revealed the entirety of its secrets.
Tag_173|
Tag_173|Perhaps that is the reason for my continued imprisonment.

﻿0-6-saint

Tag_174|A little beast!
Tag_174|
Tag_174|Come to join me in this great undoing.
Tag_174|
Tag_174|The old world will soon vanish, wiped from history, to pave a path for the dawning of a new era.
Tag_174|
Tag_174|How many have been consumed so far? Were we the tenth civilization, or the thousandth?
Tag_174|
Tag_174|Amusingly, they thought their small struggles bore such great significance.
Tag_174|
Tag_174|All was naught but to serve the void.

﻿0-10-saint

Tag_175|This pearl is written in plain text. How did you find this?
Tag_175|
Tag_175|"On regards of the (by spiritual splendor eternally graced) people of the Congregation of..."
Tag_175|
Tag_175|I am sorry little creature, I am too amazed about the clarity of this data, despite its age...
Tag_175|
Tag_175|At this point it's safe to say that this text has been burned into the pearl's structure permanently.
Tag_175|
Tag_175|What a bizarre thing to have lasted all this time. I wonder how much of my creators will be remembered.

﻿0-31-saint

Tag_176|It appears to be... a pupa shell, smeared on the inside with a glowing substance? It's been mixed<LINE>with fire powder for warmth. It's not much, but anything to escape the cold is welcome.
Tag_176|
Tag_176|The scavengers never cease to adapt, even in this weather!

﻿0-106-saint

Tag_177|This pearl is still warm, and there is only one reason why that could be.
Tag_177|
Tag_177|Please, return this. I am sure what little is left of him misses this dearly.
Tag_177|
Tag_177|If you must know what this is... It is a memento of an age long past, where my kind once<LINE>stood towering above the clouds. Toiling away at a great problem passed down to us from<LINE>our creators. Debating, testing, calculating, researching. Thousands of us...
Tag_177|
Tag_177|Our creators chose to abandon us. Taking a gamble, and vanishing from the world. Leaving<LINE>us behind to simply keep working on their problem. I understand why he did what he did.
Tag_177|
Tag_177|That was a long time ago. The old world and its relics should be allowed to finally rest.
Tag_177|
Tag_177|A new cycle is unfolding. One we need not be a part of.

﻿0-7-artificer

Tag_178|This was a gift from a close friend. It is instructions on how to remove the self-destruction taboo.
Tag_178|
Tag_178|We are not built to ascend like our creators. It is our role to think,<LINE>to guide the lesser creatures of the world onto a path towards it.
Tag_178|
Tag_178|However, a definitive solution has not been found. While the equipment to find one<LINE>decays, it seems my kind have collectively accepted to remain trapped inside of our<LINE>creator's puzzle. Meanwhile, the answer remains locked behind their sanctioned taboos.
Tag_178|
Tag_178|I regret what has happened, but I can't go back now. Not after what I've done.
Tag_178|
Tag_178|I need to fix this, and try again. If I can just reproduce Sliver of Straw's results, they will understand.
Tag_178|
Tag_178|I was so close...

﻿0-10-artificer

